tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
3117,8/1/2015 01:19:15,8/1/2015 02:11:12,301,E 2 St & Avenue B,40.72217444,-73.98368779,301,E 2 St & Avenue B,40.72217444,-73.98368779,18070,Subscriber,1986.0,1
690,8/1/2015 01:27:30,8/1/2015 01:39:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,349,Rivington St & Ridge St,40.71850211,-73.98329859,19699,Subscriber,1985.0,1
727,8/1/2015 01:38:49,8/1/2015 01:50:57,301,E 2 St & Avenue B,40.72217444,-73.98368779,2010,Grand St & Greene St,40.72165481,-74.00234737,20953,Subscriber,1982.0,1
698,8/1/2015 06:06:41,8/1/2015 06:18:20,301,E 2 St & Avenue B,40.72217444,-73.98368779,527,E 33 St & 2 Ave,40.744023,-73.976056,23566,Subscriber,1976.0,1
351,8/1/2015 06:24:29,8/1/2015 06:30:21,301,E 2 St & Avenue B,40.72217444,-73.98368779,250,Lafayette St & Jersey St,40.72456089,-73.99565293,17545,Subscriber,1959.0,1
597,8/1/2015 07:46:09,8/1/2015 07:56:06,301,E 2 St & Avenue B,40.72217444,-73.98368779,497,E 17 St & Broadway,40.73704984,-73.99009296,17435,Subscriber,1979.0,1
1248,8/1/2015 08:02:58,8/1/2015 08:23:47,301,E 2 St & Avenue B,40.72217444,-73.98368779,505,6 Ave & W 33 St,40.74901271,-73.98848395,18236,Subscriber,1987.0,1
417,8/1/2015 08:12:43,8/1/2015 08:19:41,301,E 2 St & Avenue B,40.72217444,-73.98368779,268,Howard St & Centre St,40.71910537,-73.99973337,22454,Subscriber,1991.0,1
454,8/1/2015 08:25:41,8/1/2015 08:33:16,301,E 2 St & Avenue B,40.72217444,-73.98368779,128,MacDougal St & Prince St,40.72710258,-74.00297088,17910,Subscriber,1990.0,1
409,8/1/2015 08:38:25,8/1/2015 08:45:15,301,E 2 St & Avenue B,40.72217444,-73.98368779,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,17127,Subscriber,1981.0,2
384,8/1/2015 08:55:30,8/1/2015 09:01:55,301,E 2 St & Avenue B,40.72217444,-73.98368779,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,21215,Subscriber,1988.0,2
310,8/1/2015 08:57:32,8/1/2015 09:02:43,301,E 2 St & Avenue B,40.72217444,-73.98368779,403,E 2 St & 2 Ave,40.72502876,-73.99069656,23524,Subscriber,1990.0,1
272,8/1/2015 09:00:37,8/1/2015 09:05:09,301,E 2 St & Avenue B,40.72217444,-73.98368779,312,Allen St & E Houston St,40.722055,-73.989111,18174,Subscriber,1984.0,1
640,8/1/2015 09:09:04,8/1/2015 09:19:44,301,E 2 St & Avenue B,40.72217444,-73.98368779,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,17968,Subscriber,1971.0,1
631,8/1/2015 09:18:37,8/1/2015 09:29:08,301,E 2 St & Avenue B,40.72217444,-73.98368779,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,23247,Subscriber,1989.0,1
1158,8/1/2015 09:28:32,8/1/2015 09:47:50,301,E 2 St & Avenue B,40.72217444,-73.98368779,254,W 11 St & 6 Ave,40.73532427,-73.99800419,14767,Subscriber,1986.0,2
1153,8/1/2015 09:28:41,8/1/2015 09:47:54,301,E 2 St & Avenue B,40.72217444,-73.98368779,254,W 11 St & 6 Ave,40.73532427,-73.99800419,17457,Subscriber,1989.0,1
93,8/1/2015 09:38:38,8/1/2015 09:40:11,301,E 2 St & Avenue B,40.72217444,-73.98368779,317,E 6 St & Avenue B,40.72453734,-73.98185424,23302,Subscriber,1957.0,1
1168,8/1/2015 09:39:46,8/1/2015 09:59:14,301,E 2 St & Avenue B,40.72217444,-73.98368779,491,E 24 St & Park Ave S,40.74096374,-73.98602213,16899,Customer,,0
1222,8/1/2015 09:40:33,8/1/2015 10:00:56,301,E 2 St & Avenue B,40.72217444,-73.98368779,379,W 31 St & 7 Ave,40.749156,-73.9916,14722,Subscriber,1978.0,1
1217,8/1/2015 09:40:44,8/1/2015 10:01:02,301,E 2 St & Avenue B,40.72217444,-73.98368779,379,W 31 St & 7 Ave,40.749156,-73.9916,18070,Subscriber,1983.0,2
2071,8/1/2015 09:43:42,8/1/2015 10:18:14,301,E 2 St & Avenue B,40.72217444,-73.98368779,533,Broadway & W 39 St,40.75299641,-73.98721619,16102,Subscriber,1963.0,1
412,8/1/2015 09:45:51,8/1/2015 09:52:43,301,E 2 St & Avenue B,40.72217444,-73.98368779,428,E 3 St & 1 Ave,40.72467721,-73.98783413,16107,Customer,,0
274,8/1/2015 09:46:12,8/1/2015 09:50:46,301,E 2 St & Avenue B,40.72217444,-73.98368779,428,E 3 St & 1 Ave,40.72467721,-73.98783413,16406,Customer,,0
485,8/1/2015 09:48:07,8/1/2015 09:56:12,301,E 2 St & Avenue B,40.72217444,-73.98368779,251,Mott St & Prince St,40.72317958,-73.99480012,19568,Subscriber,1969.0,1
952,8/1/2015 09:48:15,8/1/2015 10:04:08,301,E 2 St & Avenue B,40.72217444,-73.98368779,491,E 24 St & Park Ave S,40.74096374,-73.98602213,18803,Subscriber,1967.0,2
895,8/1/2015 09:52:15,8/1/2015 10:07:11,301,E 2 St & Avenue B,40.72217444,-73.98368779,474,5 Ave & E 29 St,40.7451677,-73.98683077,17537,Subscriber,1983.0,1
1217,8/1/2015 10:06:39,8/1/2015 10:26:56,301,E 2 St & Avenue B,40.72217444,-73.98368779,546,E 30 St & Park Ave S,40.74444921,-73.98303529,17883,Customer,,0
1224,8/1/2015 10:06:41,8/1/2015 10:27:06,301,E 2 St & Avenue B,40.72217444,-73.98368779,546,E 30 St & Park Ave S,40.74444921,-73.98303529,19104,Customer,,0
