,date,price
0,1957.0,411041792.0
1,1959.0,67947725.0
2,1960.0,5242880.0
3,1965.0,2642412.0
4,1970.0,734003.0
5,1973.0,399360.0
6,1974.0,314573.0
7,1975.0,421888.0
8,1975.08,180224.0
9,1975.25,67584.0
10,1975.75,49920.0
11,1976.0,40704.0
12,1976.17,48960.0
13,1976.42,23040.0
14,1976.58,32000.0
15,1977.08,36800.0
16,1978.17,28000.0
17,1978.25,29440.0
18,1978.33,19200.0
19,1978.5,24000.0
20,1978.58,16000.0
21,1978.75,15200.0
22,1979.0,10528.0
23,1979.75,6704.0
24,1980.0,6480.0
25,1981.0,8800.0
26,1981.58,4479.0
27,1982.0,3520.0
28,1982.17,4464.0
29,1982.67,1980.0
30,1983.0,2396.0
31,1983.67,1980.0
32,1984.0,1379.0
33,1984.58,1331.0
34,1985.0,880.0
35,1985.33,720.0
36,1985.42,550.0
37,1985.5,420.0
38,1985.58,350.0
39,1985.67,300.0
40,1985.83,300.0
41,1985.92,300.0
42,1986.0,300.0
43,1986.08,300.0
44,1986.17,300.0
45,1986.25,300.0
46,1986.33,190.0
47,1986.42,190.0
48,1986.5,190.0
49,1986.58,190.0
50,1986.67,190.0
51,1986.75,190.0
52,1986.92,190.0
53,1987.0,176.0
54,1987.08,176.0
55,1987.17,157.0
56,1987.25,154.0
57,1987.33,154.0
58,1987.42,154.0
59,1987.5,154.0
60,1987.58,154.0
61,1987.67,163.0
62,1987.75,133.0
63,1987.83,163.0
64,1987.92,163.0
65,1988.0,163.0
66,1988.08,182.0
67,1988.17,199.0
68,1988.33,199.0
69,1988.42,199.0
70,1988.5,505.0
71,1988.58,505.0
72,1988.67,505.0
73,1988.75,505.0
74,1988.83,505.0
75,1988.92,505.0
76,1989.0,505.0
77,1989.08,505.0
78,1989.17,505.0
79,1989.25,505.0
80,1989.42,344.0
81,1989.5,197.0
82,1989.58,188.0
83,1989.67,188.0
84,1989.75,128.0
85,1989.83,117.0
86,1989.92,113.0
87,1990.0,106.0
88,1990.17,98.3
89,1990.33,98.3
90,1990.42,89.5
91,1990.5,82.8
92,1990.58,81.1
93,1990.67,71.5
94,1990.75,59.0
95,1990.83,51.0
96,1990.92,45.5
97,1991.0,44.5
98,1991.08,44.5
99,1991.17,45.0
100,1991.25,45.0
101,1991.33,45.0
102,1991.42,43.8
103,1991.5,43.8
104,1991.58,41.3
105,1991.67,46.3
106,1991.75,45.0
107,1991.83,39.8
108,1991.92,39.8
109,1992.0,36.3
110,1992.08,36.3
111,1992.17,36.3
112,1992.25,34.8
113,1992.33,30.0
114,1992.42,32.5
115,1992.5,33.5
116,1992.58,31.0
117,1992.67,27.5
118,1992.75,26.3
119,1992.83,26.3
120,1992.92,26.3
121,1993.0,33.1
122,1993.08,27.5
123,1993.17,27.5
124,1993.25,27.5
125,1993.33,27.5
126,1993.42,30.0
127,1993.5,30.0
128,1993.58,30.0
129,1993.67,30.0
130,1993.75,36.0
131,1993.83,39.8
132,1993.92,35.8
133,1994.0,35.8
134,1994.08,35.8
135,1994.17,36.0
136,1994.25,37.3
137,1994.33,37.3
138,1994.42,37.3
139,1994.5,38.5
140,1994.58,37.0
141,1994.67,34.0
142,1994.75,33.5
143,1994.83,32.3
144,1994.92,32.3
145,1995.0,32.3
146,1995.08,32.0
147,1995.17,32.0
148,1995.25,31.2
149,1995.33,31.2
150,1995.42,31.1
151,1995.5,31.2
152,1995.58,30.6
153,1995.67,33.1
154,1995.75,33.1
155,1995.83,30.9
156,1995.92,30.9
157,1996.0,29.9
158,1996.08,28.8
159,1996.17,26.1
160,1996.25,24.7
161,1996.33,17.2
162,1996.42,14.9
163,1996.5,11.3
164,1996.58,9.06
165,1996.67,8.44
166,1996.75,8.0
167,1996.83,5.25
168,1996.92,5.25
169,1997.0,4.63
170,1997.08,3.63
171,1997.17,3.0
172,1997.25,3.0
173,1997.33,3.0
174,1997.42,3.69
175,1997.5,4.0
176,1997.58,4.13
177,1997.67,3.63
178,1997.75,3.41
179,1997.83,3.25
180,1997.92,2.16
181,1998.0,2.16
182,1998.08,0.91
183,1998.17,0.97
184,1998.25,1.22
185,1998.33,1.19
186,1998.42,0.97
187,1998.58,1.03
188,1998.67,0.97
189,1998.75,1.16
190,1998.83,0.84
191,1998.92,0.84
192,1999.08,1.44
193,1999.13,0.84
194,1999.17,1.25
195,1999.25,1.25
196,1999.33,0.86
197,1999.5,0.78
198,1999.67,0.87
199,1999.75,1.04
200,1999.83,1.34
201,1999.92,2.35
202,2000.0,1.56
203,2000.08,1.48
204,2000.17,1.08
205,2000.25,0.84
206,2000.33,0.7
207,2000.42,0.9
208,2000.5,0.77
209,2000.58,0.84
210,2000.67,1.07
211,2000.75,1.12
212,2000.83,1.12
213,2000.92,0.9
214,2001.0,0.75
215,2001.08,0.464
216,2001.17,0.464
217,2001.25,0.383
218,2001.33,0.387
219,2001.42,0.305
220,2001.5,0.352
221,2001.5,0.27
222,2001.58,0.191
223,2001.67,0.191
224,2001.75,0.169
225,2001.77,0.148
226,2002.08,0.134
227,2002.08,0.207
228,2002.25,0.193
229,2002.33,0.193
230,2002.42,0.33
231,2002.58,0.193
232,2002.75,0.193
233,2003.17,0.176
234,2003.25,0.076
235,2003.33,0.126
236,2003.42,0.115
237,2003.5,0.133
238,2003.58,0.129
239,2003.67,0.143
240,2003.75,0.148
241,2003.83,0.16
242,2003.99,0.166
243,2004.0,0.174
244,2004.08,0.148
245,2004.17,0.146
246,2004.33,0.156
247,2004.42,0.203
248,2004.5,0.176
249,2005.25,0.185
250,2005.42,0.149
251,2005.83,0.116
252,2005.92,0.185
253,2006.17,0.112
254,2006.33,0.073
255,2006.5,0.082
256,2006.67,0.073
257,2006.75,0.088
258,2006.83,0.098
259,2006.99,0.092
260,2007.0,0.082
261,2007.08,0.078
262,2007.17,0.066
263,2007.33,0.0464
264,2007.5,0.0386
265,2007.67,0.0351
266,2007.75,0.0322
267,2007.83,0.0244
268,2007.92,0.0244
269,2008.0,0.0232
270,2008.08,0.022
271,2008.33,0.022
272,2008.5,0.0207
273,2008.58,0.0176
274,2008.67,0.0146
275,2008.83,0.011
276,2008.92,0.0098
277,2009.0,0.0098
278,2009.08,0.0107
279,2009.25,0.0105
280,2009.42,0.0115
281,2009.5,0.011
282,2009.58,0.0127
283,2009.75,0.0183
284,2009.92,0.0205
285,2010.0,0.019
286,2010.08,0.0202
287,2010.17,0.0195
288,2010.33,0.0242
289,2010.5,0.021
290,2010.58,0.022
291,2010.75,0.0171
292,2010.83,0.0146
293,2010.92,0.0122
294,2011.0,0.01
295,2011.08,0.0103
296,2011.33,0.01
297,2011.42,0.0085
298,2011.67,0.0054
299,2011.75,0.0051
300,2012.0,0.0049
301,2012.08,0.0049
302,2012.25,0.005
303,2012.33,0.0049
304,2012.58,0.0048
305,2012.67,0.004
306,2012.83,0.0037
307,2013.0,0.0043
308,2013.08,0.0054
309,2013.33,0.0067
310,2013.42,0.0061
311,2013.58,0.0073
312,2013.67,0.0065
313,2013.75,0.0082
314,2013.83,0.0085
315,2013.92,0.0079
316,2014.08,0.0095
317,2014.17,0.0079
318,2014.25,0.0073
319,2014.42,0.0079
320,2014.58,0.0085
321,2014.67,0.0085
322,2014.83,0.0085
323,2015.0,0.0078
324,2015.08,0.0073
325,2015.25,0.0061
326,2015.33,0.0056
327,2015.5,0.0049
328,2015.58,0.0045
329,2015.67,0.0043
330,2015.75,0.0042
331,2015.83,0.0038
332,2015.92,0.0037
